theta,discord_measured,discord_analytical,discord_error_pct,S_A,S_B,S_AB,purity,fidelity,concurrence,xx_expectation,yy_expectation,xy_expectation,yx_expectation,observable_error_avg
0,1.9999999999956721,0.5,299.99999999913445,0.9999999999971146,0.9999999999971146,-1.4428232973175175e-12,1.0,0.9999999999999998,1.0,1.0,-1.0,0.0,0.0,0.0
15,1.9908573081558394,0.4829629131445341,312.21742994581547,0.9999999999971146,0.9999999999971146,0.00914269183838988,0.9984480000000002,0.9992227241346586,0.9984467937752868,0.964,-0.964,0.26,0.26,0.0015533905932738068
30,1.9999999999956724,0.4330127018922194,361.88021535070106,0.9999999999971148,0.9999999999971148,-1.4428232973175175e-12,1.0,0.9999997571420977,0.9999999838257959,0.8680000000000001,-0.868,0.5,0.5,0.0009872981077806986
45,1.9999999999956721,0.35355339059327373,465.685424948014,0.9999999999971146,0.9999999999971146,-1.4428232973175175e-12,1.0,0.9999999999999999,0.9999999874202489,0.708,-0.708,0.708,0.708,0.0008932188134524455
60,1.9999999999956724,0.2500000000000001,699.9999999982687,0.9999999999971146,0.9999999999971148,-1.4428232973175175e-12,1.0,0.9999997571420977,0.9999999814356536,0.5,-0.5,0.8680000000000001,0.8680000000000001,0.0009872981077808096
75,1.9908573081558396,0.12940952255126037,1438.4163923232477,0.9999999999971148,0.9999999999971146,0.00914269183838988,0.9984480000000002,0.9992227241346587,0.9984467937752868,0.26,-0.26,0.964,0.964,0.0015533905932738068
90,1.9999999999956721,1.1102230246251565e-16,1999999999995.6719,0.9999999999971146,0.9999999999971146,-1.4428232973175175e-12,1.0,0.9999999999999998,1.0,0.0,0.0,1.0,1.0,3.061616997868383e-17
