test_type,n_qubits,theta,basis,rep,discord,mutual_info,method,timestamp
v1_software,4,75,Z,0,0.053509314013862275,0.05350931401386205,standard,14.328806400299072
v1_software,4,75,Z,0,0.04213658130490461,0.042136581304904386,manual,27.917325258255005
v1_software,4,75,X,0,0.3285821409566183,0.3285821409566183,standard,37.919636249542236
v1_software,4,75,X,0,0.31347684096284834,0.31347684096284834,manual,47.31513047218323
v2_formula,4,0,Z,0,0.0,0.0,product_state,57.110886335372925
v2_formula,2,0,Z,0,0.9999995383375376,0.9999995383375376,bell_state,69.92693972587585
v2_formula,4,0,Z,0,0.9992426256842545,0.9992426256842545,ghz_state,79.76160836219788
v4_reproducibility,4,75,Z,1,0.04910613245033968,0.049106132450339235,,125.58748626708984
v4_reproducibility,4,75,Z,2,0.04848628450191095,0.048486284501910504,,135.34965538978577
v4_reproducibility,4,75,Z,3,0.04576561212406749,0.04576561212406771,,144.56431102752686
v4_reproducibility,4,75,Z,4,0.040008347903083274,0.04000834790308305,,154.8026351928711
v4_reproducibility,4,75,Z,5,0.04513698771939456,0.045136987719395005,,167.70900988578796
v4_reproducibility,4,75,X,1,0.31448334382392895,0.31448334382392895,,177.61345314979553
v4_reproducibility,4,75,X,2,0.30820990159683204,0.30820990159683204,,187.72011804580688
v4_reproducibility,4,75,X,3,0.34292746495413784,0.3429274649541374,,197.75056910514832
v4_reproducibility,4,75,X,4,0.31492990395167375,0.3149299039516742,,207.32651615142822
v4_reproducibility,4,75,X,5,0.3354070075773339,0.33540700757733344,,220.51521825790405
s1_scaling,4,75,Z,1,0.04279030316149157,0.042790303161492016,,233.66924238204956
s1_scaling,4,75,Z,2,0.052237535564159554,0.052237535564159554,,243.75311017036438
s1_scaling,4,75,Z,3,0.049939148259108945,0.04993914825910917,,253.2031877040863
s1_scaling,4,75,Z,4,0.048035779827322767,0.04803577982732321,,266.31237983703613
s1_scaling,4,75,Z,5,0.055827787111305316,0.055827787111305316,,275.6778712272644
s1_scaling,4,75,X,1,0.3263530733962834,0.32635307339628294,,284.9119682312012
s1_scaling,4,75,X,2,0.31952091269132055,0.31952091269132055,,294.86706018447876
s1_scaling,4,75,X,3,0.32465620368669734,0.3246562036866969,,304.2769901752472
s1_scaling,4,75,X,4,0.31359634534546066,0.31359634534545977,,313.9121980667114
s1_scaling,4,75,X,5,0.32849196642667744,0.32849196642667833,,323.5233428478241
s1_scaling,6,75,Z,1,0.04252807855661089,0.04252807855661089,,333.31253933906555
s1_scaling,6,75,Z,2,0.053154611475103586,0.05315461147510314,,342.6042408943176
s1_scaling,6,75,Z,3,0.050265544621299174,0.05026554462129873,,355.80574584007263
s1_scaling,6,75,Z,4,0.047770927952895725,0.04777092795289528,,366.1443510055542
s1_scaling,6,75,Z,5,0.046941418499324206,0.046941418499323984,,375.706995010376
s1_scaling,6,75,X,1,0.3171035768603563,0.3171035768603563,,385.50612449645996
s1_scaling,6,75,X,2,0.3146811432451626,0.3146811432451626,,395.27010321617126
s1_scaling,6,75,X,3,0.32047048391979693,0.3204704839197978,,404.73088574409485
s1_scaling,6,75,X,4,0.316590557390219,0.316590557390219,,414.43606424331665
s1_scaling,6,75,X,5,0.2997828687324926,0.2997828687324935,,424.1113736629486
s1_scaling,8,75,Z,1,0.03881404791339471,0.03881404791339449,,433.82415795326233
s1_scaling,8,75,Z,2,0.050677140410745114,0.05067714041074556,,446.9035565853119
s1_scaling,8,75,Z,3,0.0379494919361385,0.037949491936138724,,459.9928255081177
s1_scaling,8,75,Z,4,0.04794492582934229,0.04794492582934229,,469.62993478775024
s1_scaling,8,75,Z,5,0.05208049267509218,0.052080492675091516,,479.38655638694763
s1_scaling,8,75,X,1,0.3447897137731104,0.3447897137731095,,492.69297671318054
s1_scaling,8,75,X,2,0.33795378825523503,0.33795378825523414,,502.6263506412506
s1_scaling,8,75,X,3,0.334266730858773,0.3342667308587721,,515.6543343067169
s1_scaling,8,75,X,4,0.3226479388667167,0.32264793886671495,,526.2576549053192
s1_scaling,8,75,X,5,0.3235729505485194,0.3235729505485203,,539.5740232467651
s2_hierarchy,4,75,Y,1,0.999992613388784,0.999992613388784,,549.500138759613
s2_hierarchy,4,75,Y,2,0.9999981533495594,0.9999981533495599,,562.2483496665955
s2_hierarchy,4,75,Bell,1,0.72670220377932,0.72670220377932,,571.8394138813019
s2_hierarchy,4,75,Bell,2,0.7203252066056243,0.7203252066056243,,581.2136034965515
s2_hierarchy,6,75,Y,1,0.9999583345661152,0.9999583345661147,,590.9902234077454
s2_hierarchy,6,75,Y,2,0.9999740313334518,0.9999740313334504,,600.5648891925812
s2_hierarchy,6,75,Bell,1,0.7572351698340636,0.7572351698340638,,611.0911045074463
s2_hierarchy,6,75,Bell,2,0.7227273739001256,0.7227273739001254,,620.7950623035431
s2_hierarchy,8,75,Y,1,0.9998890827627154,0.9998890827627154,,634.211683511734
s2_hierarchy,8,75,Y,2,0.9999278640456621,0.9999278640456613,,647.4467487335205
s2_hierarchy,8,75,Bell,1,0.7360964415713482,0.7360964415713473,,656.9011144638062
s2_hierarchy,8,75,Bell,2,0.732206968564844,0.7322069685648445,,666.4899482727051
s3_angular,6,0,Z,1,0.9999740313334506,0.9999740313334506,,676.5816450119019
s3_angular,6,0,X,1,0.9998586112670829,0.9998586112670829,,686.3263578414917
s3_angular,6,45,Z,1,0.4133005530644367,0.4133005530644367,,699.3276853561401
s3_angular,6,45,X,1,0.4456114877798081,0.4456114877798081,,709.0040581226349
s3_angular,6,90,Z,1,0.00034160536813798714,0.00034160536813843123,,718.3857116699219
s3_angular,6,90,X,1,0.38909890266725267,0.3890989026672518,,728.1036148071289
s3_angular,8,0,Z,1,0.9998333334507572,0.9998333334507572,,740.8930580615997
s3_angular,8,0,X,1,0.9990855998036325,0.9990855998036334,,750.9904298782349
s3_angular,8,45,Z,1,0.4079993604138126,0.40799936041381213,,760.4982042312622
s3_angular,8,45,X,1,0.4695713488917139,0.4695713488917139,,770.7868115901947
s3_angular,8,90,Z,1,0.0007209506168792679,0.0007209506168792679,,783.7380466461182
s3_angular,8,90,X,1,0.39639386521104036,0.3963938652110395,,797.2969696521759
c1_control,4,90,Z,1,0.0002509485733976913,0.0002509485733979133,,806.9169652462006
c1_control,4,90,X,1,0.39388399240090655,0.39388399240090655,,817.6618683338165
c1_control,6,90,Z,1,0.00023661382300055323,0.00023661382300099731,,827.6486208438873
c1_control,6,90,X,1,0.40831801451403305,0.40831801451403305,,840.7318546772003
c1_control,8,90,Z,1,0.0010522603487685966,0.0010522603487688187,,854.4061944484711
c1_control,8,90,X,1,0.4084789436519447,0.4084789436519438,,867.5782945156097
