n_qubits,theta,rep,discord_measured,discord_theory,S_A,S_B,S_AB,purity_A,purity_AB,fidelity_with_ghz,time_sec
4,0,1,0.9999999997114609,-1.4426951601859516e-10,0.9999999997114609,0.9999999997114609,-1.4426951601859516e-10,0.5,1.0,0.5,34.374693393707275
4,30,1,1.026004178697026,0.35457890237673073,1.026004178697026,1.026004178697026,0.09200417884129564,0.43617800000000007,0.8723560000000001,0.7005,37.78492069244385
4,45,1,1.0484489890969846,0.6008760364043171,1.0484489890969846,1.0484489890969846,0.19444898924125406,0.364658,0.729316,0.7289345955666559,38.27802872657776
4,60,1,1.0612781241705938,0.8112781241705938,1.0612781241705938,1.0612781241705938,0.31127812431486335,0.28125,0.5625,0.6997595264191645,35.72929787635803
4,75,1,1.04994304746459,0.9511243979331857,1.04994304746459,1.04994304746459,0.41994304760885964,0.19845000000000002,0.39690000000000003,0.6192666352810565,42.16866183280945
4,90,1,0.9999999997114609,0.999999999711461,0.9999999997114609,0.9999999997114609,0.49999999985573046,0.125,0.25,0.5,37.67881393432617
