theta,discord_measured,discord_analytical,discord_error_pct,S_A,S_B,S_AB,I_classical,purity,fidelity
0,0.9709505944546692,0.5,94.19011889093385,1.9219280948815918,1.9709505944488979,2.9219280948758204,0.9709505944546692,0.13999999999999996,0.09999999999999995
15,0.9676759548578513,0.4829629131445341,100.36237328398327,1.9221144330621622,1.971023255993823,2.9254617341981337,0.9676759548578513,0.13990066433294557,0.10003107377729262
30,0.9709905770378806,0.4330127018922194,124.24066841336412,1.9218594251224002,1.9709905770321092,2.921859425116629,0.9709905770378806,0.1400137170155502,0.1000170936745699
45,0.9709801288976472,0.35355339059327373,174.63465341636575,1.921877431339048,1.9709801288918758,2.921877431333277,0.9709801288976472,0.14001012346826963,0.10001262564210608
60,0.9709905770378802,0.2500000000000001,288.3962308151519,1.9218594251224002,1.9709905770321097,2.9218594251166294,0.9709905770378802,0.14001371701555027,0.10001709367456993
75,0.9676759548578517,0.12940952255126037,647.7625570209069,1.9221144330621622,1.9710232559938232,2.9254617341981337,0.9676759548578517,0.13990066433294565,0.10003107377729267
90,0.9709505944546692,1.1102230246251565e-16,970950594454.6692,1.9219280948815918,1.9709505944488979,2.9219280948758204,0.9709505944546692,0.13999999999999996,0.09999999999999995
