theta,basis_config,discord_analytical,I_Z_analytical,I_X_analytical,discord_measured,I_Z_measured,I_X_measured,S_A_measured,S_B_measured,S_AB_measured,fidelity,purity,time_sec
0,Z+X,-1.4428232973175175e-12,0.0,1.1542766742422828e-11,0.9999999999971146,0.9999999999971146,0.9999999999971148,0.9999999999971146,0.9999999999971146,0.9999999999971146,0.5,1.0,33.79428815841675
30,Z+X,0.35457890266238434,0.35457890266526954,0.18872187555240938,0.9999999999971146,0.9999999999971148,0.6568770928766359,0.9999999999971146,1.3508159298898343,1.3508159298898343,0.4670000000000001,0.934,35.829413652420044
45,Z+X,0.6008760366899708,0.6008760366928562,0.39912396331868605,0.9999999999971146,0.9999999999971148,0.40538065591364436,0.9999999999971146,1.5997391093439353,1.5997391093439353,0.427,0.854,35.90429663658142
60,Z+X,0.8112781244562475,0.8112781244591326,0.6454210973462722,0.9999999999971146,0.9999999999971148,0.19190721678409783,0.9999999999971146,1.8112781244533624,1.8112781244533624,0.375,0.75,33.72364139556885
75,Z+X,0.9511243982188394,0.9511243982217248,0.8755353489610407,0.9999999999971146,0.9999999999971148,0.050875948023478834,0.9999999999971146,1.950672092681295,1.950672092681295,0.315,0.63,39.45679450035095
90,Z+X,0.9999999999971146,1.0,1.0,0.9999999999971146,0.9999999999971145,0.00690828970229207,0.9999999999971146,1.9999999999942293,1.9999999999942293,0.25,0.5,29.56617522239685
